News,Headings
اسی طرح نیپرا کی رپورٹ میں انکشاف کیا گیا کہ اسی طرح بجلی صارفین کے بلوں میں دیکھا گیا کہ میٹر ریڈنگ کی جو تصاویر لی جاتی ہیں یا تو وہ مدھم تھیں کہ اس پر ریڈنگ کو پڑھا نہیں جا سکتا اور بعض کیسوں میں ریڈنگ کی تصویریں لی ہی نہیں گئیں۔,پاکستان
اسی طرح بعض کیسوں میں جو ریڈنگ بجلی کے میٹر پر تھی وہ ریڈنگ کی ان تصویروں سے مختلف تھی جس پر بجلی کا بل بنایا گیا۔,پاکستان
نیپرا رپورٹ کے مطابق بجلی تقسیم کار کمپنیوں کی جانب سے لگائے گیے میٹرز میں خرابی بھی اضافی بل کا سبب بنی جو زیادہ عرصہ گزرنے کی وجہ سے پیدا ہوئی اور صارفین کی جانب سے استعمال کی جانے والی بجلی سے زیادہ ریڈنگ دکھاتے ہیں۔ ,پاکستان
نیپرا کی جانب سے کی جانے والی انکوائری میں انکشاف کیا گیا ہے کہ جولائی اور اگست 2023 کے بجلی بلوں میں صارفین سے زیادہ پیسے وصول کیے گئے۔,پاکستان
انکوائری رپورٹ کے مطابق ملتان الیکٹرک پاور سپلائی کمپنی کے 57 لاکھ صارفین سے جولائی میں ایک مہینے سے زائد کی میٹر ریڈنگ پر بجلی کے بل وصول کے گئے۔ ,پاکستان
گوجرنوالہ الیکٹرک پاور سپلائی کمپنی میں اگست کے مہینے کے بجلی بلوں میں ایک مہینے سے زیادہ کی ریڈنگ پر بل بھیجے گئے اور زیادہ بل ادا کرنے والے صارفین کی تعداد 12 لاکھ تھی۔,پاکستان
فیصل آباد الیکٹرک پاور سپلائی کمپنی کے آٹھ لاکھ سے زائد صارفین سے اگست کے بجلی بلوں میں ایک مہینے کے زائد کی ریڈنگ پر بجلی کے بل وصول کیے گئے۔,پاکستان
لاہور الیکٹرک پاور سپلائی کمپنی کے سات لاکھ صارفین نے بھی دونوں ماہ میں 30 دن سے  زیادہ کی ریڈنگ کے بل ادا کیے۔ ,پاکستان
حیدر آباد الیکٹرک سپلائی کمپنی کے پانچ لاکھ صارفین کو جولائی کے مہینے میں اضافی بل ادا کرنا پڑا ۔,پاکستان
اسی طرح اسلام آباد الیکٹرک پاور سپلائی کمپنی ، پشاور الیکٹرک پاور سپلائی کمپنی ، سکھر الیکٹرک پاور سپلائی کمپنی اور کوئٹہ الیکٹرک پاور سپلائی کمپنی کے صارفین کو بھی 30 دن سے زائد کی ریڈنگ پر بجلی کے بل ادا کرنا پڑے۔ ,پاکستان
البتہ کراچی الیکٹرک جو کراچی میں بجلی فراہم کرتا ہے اس میں ایسی کوئی شکایت سامنے نہیں آئی۔,پاکستان
نیپرا کی رپورٹ میں بجلی تقسیم کار کمپنیوں کو ناجائز اور غیر قانونی طریقے سے صارفین سے بجلی کے بل وصول کرنے کا ذمہ دار ٹھہرایا گیا ہے۔  نیپرا کے مطابق بجلی کی تقسیم کار کمپنیوں کے خلاف نیپرا ایکٹ کے تحت قانونی کارروائی عمل میں لائی جائے گی۔  نیپرا نے اس سلسلے میں کمپنیوں کو ہدایات جاری کی ہیں کہ وہ ایسے تمام خراب میٹرز کے تبدیل کرے جو اضافی بل کا سبب بنے اور اس سلسلے میں دو مہینے میں رپورٹ جمع کرائیں۔,پاکستان
ان کمپنیوں سے کہا گیا ہے ایسے میٹرز کا ڈیٹا حاصل کیا جائے اور ایوریج ریڈنگ کی بجائے اصل ریڈنگ پر صارفین سے بل وصول کریں۔ تقسیم کار کمپنیوں کو اس بات کا پابند کیا گیا ہے کہ وہ میٹر ریڈنگ کے لیے ہینڈلڈ یونٹس خریدیں جس سے زیادہ شفاف طریقے سے ریڈنگ حاصل کی جا سکے۔,پاکستان
نیپرا نے بجلی کمپنیوں کو ہدایات جاری کیں کہ وہ اپنے ایسے اہلکاروں اور افسروں کے خلاف کارروائی عمل میں لائے جو اس غیر قانونی عمل میں ملوث پائے گئے ہیں۔,پاکستان
پاکستان میں اس سال جون اور جولائی کے بجلی بلوں میں صارفین سے اضافی بلوں کی غیر قانونی طریقے سے وصولی کے بعد کیا اب نیپرا کی جانب سے انکوائری کے بعد انھیں یہ رقم واپس ہو سکے گی۔,پاکستان
اس سلسلے میں نیپرا کا کہنا ہے کہ بجلی تقسیم کار کمپنیوں کو ہدایات جاری کی گئی ہیں کہ وہ پاور انفارمیشن ٹیکنالوجی کمپنی کے ساتھ مل کر جون 2023 سے صارفین سے بجلی کے بل زیادہ وصول کرنے کے معاملے کا جائزہ لیں جس میں صارفین سے ایک مہینے سے زائد کی ریڈنگ پر بل وصول کیے گئے تھے اور جب انھیں ایک نیچے والے سلیب سے اوپر والے سلیب کی بجلی کی قیمت ادا کرنا پڑی۔,پاکستان
ان کمپنیوں کو کہا گیا ہے کہ وہ زیادہ بلوں کا ڈیٹا حاصل کریں تاکہ ان اضافی بلوں کا ازسر نو جائزہ لیا جا سکے۔ یہ کمپنیاں ایک مہینے کی ریڈنگ کے مطابق ایک مہینے کی ریڈنگ پر تصحیح شدہ بل صارفین کو بھیجیں تاکہ ان کی بجلی کی قیمت کی سلیب متاثر نہ ہو۔ نیپرا نے اس سلسلے میں بجلی تقسیم کار کمپنیوں کو ایک مہینے کا وقت دیا ہے۔ ,پاکستان
پاور سیکٹر شعبے کے ماہر فیاض چوہدری نے رابطہ کرنے پر بتایا کہ یہ بالکل ممکن ہے کہ صارفین کو ان کی زیادہ ادا شدہ رقم واپس مل سکے جو بجلی تقسیم کار کمپنیوں نے ان سے ایک مہینے سے زائد کی ریڈنگ پر وصول کی تھی۔,پاکستان
انھوں نے کہا بجلی کے بل نے ہر مہینے آنا ہے اور صارفین کو یہ رقم آنے والے بلوں میں اس طرح ادا ہو سکتی ہے کہ جو رقم اضافی وصول کی گئی تھی اسے اگلے بل میں ایڈجسٹ کر دیا جائے اور صارفین کو کم بل ادا کرنا پڑے۔,پاکستان
انھوں نے کہا یہ سارا ڈیٹا موجود ہوتا ہے اور اس کا جائزہ لے کر یہ کام کیا جا سکتا ہے۔,پاکستان
گذشتہ جمعہ کی شام سپریم کورٹ اچانک کھلنے کے بارے میں خبریں آنا شروع ہوئیں اور پھر دیکھتے ہی دیکھتے ٹی وی سکرینوں پر وہاں ہونے والی ایک سماعت کی لائیو نشریات کا آغاز ہوا۔ ,پاکستان
یہ سماعت لاہور ہائیکورٹ کی جانب سے ملک میں فروری 2024 میں ہونے والے عام انتخابات میں بیوروکریٹس کی بطور انتخابی عملہ تعیناتی کا الیکشن کمیشن کا فیصلہ معطل کرنے کے فیصلے کے ردِعمل میں ہو رہی تھی۔,پاکستان
لاہور ہائیکورٹ میں پاکستان تحریک انصاف کی جانب سے الیکشن کمیشن کے فیصلے کے خلاف درخواست اس لیے دائر کی گئی تھی کیونکہ سابقہ حکمراں جماعت  کو بیوروکریٹس کے بطور انتخابی عملہ تعینات ہونے کے الیکشن کمیشن کے فیصلے پر تحفظات تھے۔ ,پاکستان
لاہور ہائیکورٹ میں اس درخواست پر سماعت اور آنے والے فیصلے سے پہلے ہی الیکشن کمیشن نے ریٹرننگ آفیسرز اور ڈسٹرکٹ ریٹرننگ آفیسرز کے انتخابات سے متعلق تربیتی عمل کو بھی روک دیا تھا۔,پاکستان
ایسے میں سپریم کورٹ میں ہونے والی سماعت میں چیف جسٹس کی جانب سے تحریکِ انصاف کو بھی آڑے ہاتھوں لیا گیا اور پھر لاہور ہائی کورٹ کا آر اوز کی تعیناتی منسوخ کرنے کا حکم معطل کر کے الیکشن کمیشن کو الیکشن شیڈول جاری کرنے کا حکم دے دیا گیا۔,پاکستان
تاہم اس تمام صورتحال کے دوران جو چیز کسی حد تک ابہام کا شکار رہی وہ یہ تھی کہ وقت پر انتخابات کی خواہاں تحریکِ انصاف کی جانب سے یہ درخواست دائر کیوں کی گئی جس کے نتیجے میں انتخابات میں تاخیر کا خدشہ تھا اور ان کو اس بارے میں خدشات کیا تھے۔ ,پاکستان
لاہور ہائیکورٹ میں دائر درخواست کے مطابق پی ٹی آئی کو تشویش تھی کہ ایگزیکٹیو افسران یعنی بیوروکریٹس کی نگرانی میں ہونے والے انتخابات میں شفافیت کا قطعی امکان نہیں۔ تحریکِ انصاف کے رہنماؤں کی جانب سے بارہا یہ بات کی جاتی رہی ہے کہ انتخابات کو عدلیہ کی نگرانی میں کروایا جانا چاہیے کیونکہ بیوروکریٹس کی جانب سے انھیں مبینہ طور پر پہلے ہی جانبداری کا سامنا ہے۔,پاکستان
سپریم کورٹ کے فیصلے کے ردِعمل میں پی ٹی آئی چیئرمین گوہر علی خان نے ایک بیان میں کہا کہ وہ ’سپریم کورٹ کے فیصلے سے مطمئن نہیں، مگر سپریم کورٹ کا احترام ہے۔ شفاف الیکشن کے لیے ریٹرننگ افسران کا شفاف ہونا ضروری ہے۔‘,پاکستان
پی ٹی آئی کی اس درخواست اور آر اوز سے متعلق تحفظات کو دوسری سیاسی جماعتوں نے ’الیکشن سے بھاگنے‘ کے مترادف قرار دیا۔,پاکستان
تاہم پاکستان کی حالیہ تاریخ میں سنہ 2013 اور 2018 دونوں ہی انتخابات میں دھاندلی کی گونج سنائی دی گئی۔ سنہ 2013 کے انتخابات میں تو پیپلز پارٹی کے شریک چیئرمین آصف علی زرداری کی جانب سے اسے ’آر اوز کا الیکشن‘ قرار دیا گیا تھا جبکہ خود تحریکِ انصاف کی جانب سے اس سلسلے میں اسلام آباد کے ڈی چوک پر کئی ماہ پر محیط دھرنا دیا گیا تھا۔,پاکستان
ایسے میں آئیے پہلے جانتے ہیں کہ آر اوز اور ڈی آر اوز کے پاس ایسے کون سے اختیارات ہوتے ہیں جن کے باعث انھیں الیکشن کے عمل میں اتنی اہمیت حاصل ہوتی ہے اور پھر تجزیہ کاروں سے جانتے ہیں کہ کیا پی ٹی آئی کے اس حوالے سے خدشات میں واقعی جان ہے یا نہیں؟,پاکستان
الیکشن ایکٹ 2017 کے سیکشن پچاس کے تحت ڈسٹرکٹ ریٹرننگ آفیسرز اور اسی قانون کے سیکشن 51 کے تحت الیکشن کمیشن ریٹرننگ افیسرز اور ایڈیشنل ریٹرننگ آفیسرز تعینات کرتا ہے۔,پاکستان
ڈسٹرکٹ ریٹرننگ آفیسر اہمیت کا حامل ہوتا ہے جو ڈی آر او کہلاتا ہے اور وہ پورے ضلع میں الیکشن کا نگران ہوتا ہے۔,پاکستان
ڈسٹرکٹ ریٹرننگ آفیسر صوبائی الیکشن کمشنر کو رپورٹ کرتا ہے۔ ضلعی سطح پر ڈی آر او کے ماتحت الیکشن کے انعقاد کے لیے جو عملہ کام کر رہا ہوتا ہے یہ افسر دراصل ان کے اورالیکشن کمیشن کے مابین رابطے کا کردار ادا کرتا ہے۔,پاکستان
ڈسٹرکٹ ریٹرننگ آفیسر اپنے ماتحت ریٹرننگ آفیسر سے الیکشن کے نتائج حاصل کر کے الیکشن کمیشن تک پہنچاتا ہے۔,پاکستان
اس دوران ڈی آراو الیکشن کے قواعد و ضوابط پر عمل کروانے کا پابند ہوتا ہے۔ ڈی آراو اس ضمن میں الیکشن کے قواعد کی خلاف ورزی کرنے والے کو سزااور جرمانہ کر سکتا ہے۔,پاکستان
ڈی آر او کے بعد آر او یعنی ریٹرننگ آفیسرز آتے ہیں۔ یہ انتخابی نتائج  کو جمع کر کے ڈی آر او کو بھیجتے ہیں۔ پولنگ سٹیشنز کا عملہ آر او کا ماتحت ہوتا ہے۔,پاکستان
ان کا دائرہ اختیار اپنے اپنے حلقوں میں پولنگ کی نگرانی کرنا ہوتا ہے۔ آر او کو پریزائڈنگ آفیسر نتائج جمع کر کے مہیا کرتا ہے۔,پاکستان
ریٹرننگ آفیسر کو جہاں ضرورت پڑے وہ مجسٹریٹ کے اختیارات کو بھی استعمال میں لا سکتا ہے۔,پاکستان
اگر اس وقت زمینی حقائق پر نظر دوڑائی جائے تو پاکستان تحریکِ انصاف ہی وہ جماعت ہے جسے الیکشن سے قبل شدید مشکلات کا سامنا ہے۔ پی ٹی آئی کے اہم رہنما یا جیل میں ہیں یا پھر روپوش ہو چکے ہیں جبکہ کارکنان کی پکڑ دھکڑ کا سلسلہ بدستور جاری ہے۔,پاکستان
اسی طرح مقامی سطح پر صوبائی اور قومی اسمبلی کے امیدوار یا تو روپوش ہیں یا گرفتار کیے جا چکے ہیں اور جو اپنے حلقے میں موجود ہیں وہ سیاسی سرگرمیوں سے گریز کر رہے ہیں۔ ,پاکستان
سیاسی ماہرین کے مطابق ماضی میں پاکستان کا انتخابی عمل دھاندلی کے الزامات سے اس قدر دھندلا چکا ہے کہ انتخابی عملہ چاہے عدلیہ سے لیا جائے یا انتظامیہ سے اس پر ہمیشہ سے ہی سوالات اٹھائے گئے ہیں۔,پاکستان
ایسے میں پی ٹی آئی ایگزیکٹیو افسران کے بطور الیکشن عملہ تعیناتی پر اس قدر معترض کیوں ہے اور اس حوالے سے عدلیہ سے ہی کیوں انتخابی عملہ لینا چاہتی ہے؟,پاکستان
اس سوال کے جواب میں پی ٹی آئی رہنما شعیب شاہین دعویٰ کرتے ہیں کہ ’انتظامیہ الیکشن کمیشن اور نگران سیٹ اپ ملا ہوا ہے۔‘,پاکستان
’یہی انتظامیہ ہمارے کارکنان کو پکڑ رہے ہیں، اُن کے خلاف مقدمات ہو رہے ہیں، ہم کیسے مان جائیں کہ یہ شفاف الیکشن کروائیں گے؟‘ ,پاکستان
انھوں نے اپنی بات کو جاری رکھتے ہوئے کہا کہ ’عدلیہ میں بھی کچھ لوگ کمپرومائز کرنے والے ہوتے ہیں مگر اُن کی نگرانی میں الیکشن ہوئے تو قدرے شفاف ہو سکتے ہیں۔‘,پاکستان
 پی ٹی آئی کی موجودہ الیکشن حکمتِ عملی پر نظر دوڑائی جائے تو اس وقت جماعت کی جانب سے وکلا برادری کو زیادہ سے زیادہ سامنے لا کر نچلی سطح پر پھیلے ہوئے خوف کو کسی حد تک ختم کرنے کی کوشش کی جا رہی ہے۔,پاکستان
پی ٹی آئی رہنماؤں کا ماننا ہے کہ موجودہ حالات میں وکلا کسی حد تک دوسرے اُمیدواروں کی نسبت بہتر طور پر الیکشن لڑ سکتے ہیں۔,پاکستان
اس تناظر میں پی ٹی آئی کو جماعت کی ’مقبولیت‘ کی بنیاد پر ووٹرز کے گھروں سے نکلنے کی اُمید ہے اور یہی وجہ ہے انھیں خدشہ ہے کہ کیونکہ انھیں الیکشن سے پہلے ’لیول پلیئنگ فیلڈ‘ نہیں مل رہی تو الیکشن کے روز بھی کہیں ان کا راستہ روکنے کی کوشش نہ کی جائے۔,پاکستان
پی ٹی آئی رہنما شعیب شاہین کہتے ہیں کہ ’الیکشن سے بھاگنے کا دوسری پارٹیوں کا اعتراض جھوٹا ہے۔ ہم تو تین بار الیکشن مانگنے عدالتوں میں جا چکے ہیں۔ ہماری ہی درخواست پر آٹھ فروری کی تاریخ ملی تھی۔‘,پاکستان
’مولانا فضل الرحمٰن اور آصف زرداری تو کہہ چکے ہیں کہ الیکشن آگے ہوں۔ مگر ہم نے ایسا کوئی بیان نہیں دیا۔‘,پاکستان
اس بارے میں سیاسی تجزیہ کار رسول بخش رئیس نے بی بی سی سے بات کرتے ہوئے کہا کہ ’پی ٹی آئی کی بیوروکریٹس کے حوالے سے تشویش سو فیصد جینوئن ہے۔ پارٹی پر مقدمات ہیں، انتظامیہ میں اُن کے اپنے لوگ ہیں۔‘ ,پاکستان
انھوں نے کہا کہ ’الیکشن کے لیے ہمیشہ لوگ عدلیہ سے آتے رہے ہیں، عوام کے اندر جو بظاہر مقبول رہنما ہے وہ اور اس کی سیاسی جماعت کے اقتدار میں آنے کے تمام راستے طاقت کے بَل پر بند کیے جا رہے ہیں۔‘,پاکستان
دوسری جانب سابق وفاقی سیکریٹری برائے الیکشن کمیشن کنور دلشاد کا خیال اس کے برعکس ہے۔  وہ کہتے ہیں کہ ’پی ٹی آئی کی تشویش کا کوئی جواز نہیں ہے۔ ماضی کے انتخابات کو دیکھیں تو وہ متنازع ہی ٹھہرے ہیں، چاہے ریٹرننگ آفیسرز جہاں سے مرضی لیے جائیں۔‘,پاکستان
انھوں نے کہا کہ ’2013 کے الیکشن مکمل طور پر عدلیہ کے زیر اہتمام ہوئے تھے مگر پاکستان تحریکِ انصاف نے بعد میں انھیں دھاندلی زَدہ قرار دے کر دھرنا دیا۔‘,پاکستان
ٗکنوردلشاد کہتے ہیں کہ ’1988 سے انتخابات عدالتی افسران کی نگرانی میں ہوتے چلے آ رہے ہیں مگر اُن کے کردار پر ہمیشہ سوالات ہی اُٹھتے رہے ہیں۔‘,پاکستان
اس بارے میں تجزیہ کار ضیغم خان کا کہنا تھا کہ ’پاکستان کی انتخابی تاریخ میں متاثرہ جماعتوں کی جانب سے انتخابی عملہ پر شک و شبہ  میں وزن ہوتا ہے۔‘,پاکستان
’پاکستان میں ضلعی انتظامیہ کے ملازمین ریاست کے ملازمین ہوتے ہیں لیکن وہ بظاہر سیاسی جماعتوں اور اسٹیبلشمنٹ کے دباؤ میں بھی آ جاتے ہیں۔‘,پاکستان
انھوں نے کہا کہ ’ضلعی انتظامیہ کے ملازمین کے مفادات بھی ہوتے ہیں لہٰذا یہ خود بھی جانبدار اور سیاسی ہو جاتے ہیں۔ تحریک انصاف متاثرہ ہے اور اس کی شکایات جائز ہیں۔‘,پاکستان
ضیغم خان کا مزید کہنا تھا کہ ’تحریک انصاف نے پہلے ایسی ہی صورتحال سے فائدہ اٹھایا۔ ڈسکہ انتخابات کی مثال آپ کے سامنے ہے لہٰذا تحریک انصاف کو معلوم ہے کہ انتظامیہ کو کیسے استعمال کیا جا سکتا ہے۔‘,پاکستان
انھوں نے کہا کہ ’لیکن بات یہ ہے کہ انتخابات ریاست کے ملازمین ہی کروا سکتے ہیں ان کے علاوہ اور کون آئے گا، ساری دنیا میں ایسا ہی ہوتا ہے۔,پاکستان
’پاکستان میں عدلیہ کے افسران کو بھی لا کر ایک تجربہ کیا گیا لیکن وہ بھی متنازعہ رہا۔ اس میں ایک مسئلہ یہ بھی آتا ہے کہ عدلیہ جب خود انتخابات کروائے گی تو اس کے خلاف شکایت کون سنے گا۔‘,پاکستان
پاکستان میں گذشتہ کئی روز سے پاکستان کے آئین کی 18ویں ترمیم میں مبینہ طور پر تبدیلیاں کیے جانے سے متعلق افواہیں سامنے آ رہی ہیں لیکن یہ مباحثہ یا چہ مگوئیاں نئی ہرگز نہیں ہیں۔,پاکستان
یوں کہہ لیں کہ عالباً ڈھکے چھپے الفاظ میں گذشتہ چند سالوں سے اس بارے میں باتیں ہوتی رہی ہیں کہ اس آئینی ترمیم کو ’رول بیک‘ یا اس میں ترمیم کیے جانے کی ضرورت ہے۔,پاکستان
آج سے دس سال قبل قومی اسمبلی سے آٹھ اپریل 2010 میں اٹھارویں آئینی ترمیم کی ایک سو دو شقوں کی متفقہ طور پر منظوری دی گئی تھی۔ ,پاکستان
ان شقوں میں 17ویں ترمیم کا خاتمہ، اٹھاون ٹو بی کا خاتمہ، صوبہ سرحد کے نام کی تبدیلی اور خیبر پختونخوا رکھے جانے کی منظوری، کنکرنٹ لسٹ کا خاتمہ، مسلح افواج کے سربراہان کی تقرری کا اختیار وزیر اعظم کو منتقل کرنے جیسی ترامیم شامل تھیں۔,پاکستان
18ویں آئینی ترمیم میں تبدیلی یا اسے ختم کرنے سے متعلق گردش کرنے والی دعوے جہاں سوشل میڈیا پر گردش کر رہے ہیں وہیں پیپلز پارٹی کے چیئرمین آصف علی زرداری کی جانب سے مختلف جلسوں میں بھی دہرائے گئے ہیں۔ ,پاکستان
سوشل میڈیا پر عمومی طور پر یہ دعویٰ کیا جا رہا ہے کہ مسلم لیگ ن صوبوں کو اختیارات دینے والی اس ترمیم کے رول بیک کیے جانے کی خواہشمند ہے مگر چند دن قبل تین دسمبر کو پاکستان مسلم لیگ ن کے سنئیر رہنما احسن اقبال نے واضح کیا ہے کہ مسلم لیگ (ن) کا 18ویں ترمیم واپس لینے کا کوئی ارادہ نہیں ہے۔,پاکستان
مسلم لیگ (ن) کے سیکریٹری جنرل احسن اقبال نے سرگودھا ڈویژن کے پارٹی اُمیدواروں کے انٹرویوز کے بعد صحافیوں سے گفتگو کرتے ہوئے کہا کہ 18ویں ترمیم واپس لینے کی کوئی تجویز زیر بحث نہیں ہے۔,پاکستان
احسن اقبال نے مزید کہا تھا کہ یہ ترمیم مکمل ہے اور ہم آئندہ انتخابات کے بعد اقتدار میں آنے کے بعد اس کی روح پر پورا اتریں گے، اختیارات کی منتقلی وقت کی اہم ضرورت ہے۔,پاکستان
تاہم دو روز قبل مسلم لیگ ن کے پارلیمانی بورڈ کے پہلے اجلاس کے بعد لاہور میں رانا ثناء اللہ کے ہمراہ میڈیا سے گفتگو میں احسن اقبال نے کہا کہ ’18ویں ترمیم نا مکمل ہے، ن لیگ مکمل کرے گی۔ ہم 18ویں ترمیم ختم کرنے کرنے کا کوئی ارادہ نہیں رکھتے، بلکہ اس پر مزید کام کرنا باقی ہے۔‘,پاکستان
تاہم جب ملکی سیاسی منظرنامہ پر یہ باتیں سامنے آنے لگیں کہ 18ویں آئینی ترمیم کے رول بیک یا اس میں کسی بھی قسم کی ترمیم کا امکان ہے تو ایسے میں پاکستان پیپلز پارٹی نے ان خبروں پر بڑا سخت ردِ عمل دیا ہے۔,پاکستان
لیکن یہ چہ مگوئیاں سامنے کب اور کیسے آئی ہیں اور اس حوالے سے پیپلز پارٹی اور مسلم لیگ ن کا کیا مؤقف ہے؟,پاکستان
 پاکستان پیپلز پارٹی کے رہنما اور سابق سپیکر قومی اسمبلی فیصل کریم کُنڈی نے بی بی سی سے بات کرتے ہوئے کہا کہ ’پی پی پی وہ واحد جماعت ہے کہ جس نے اس مُلک کو ایک متفقہ آئین دیا تھا، 18ویں آئینی ترمیم میں بہتری تو کی جا سکتی ہے مگر اسے رول بیک نہیں کرنے دیا جائے گا بلکہ پاکستان پیپلز پارٹی اس اقدام کے سامنے دیوار بنے گی۔‘,پاکستان
اُن کا مزید کہنا تھا کہ ’صوبوں سے بھی اٹھارویں آئینی ترمیم سے متعلق چند تحفظات ہیں جیسا کے صوبہ خیبر پختونخوا میں موجود قدرتی وسائل سے حاصل ہونے والے معاشی فوائد فیڈریشن لے جاتی ہے، اس سے متعلق صوبے اس آئینی ترمیم میں بہتری چاہتے ہیں۔‘,پاکستان
یاد رہے کہ 15 اپریل 2010 کو ایوانِ بالا یعنی سینیٹ نے اٹھارہویں آئینی ترمیم کی منظوری دی تھی۔ ,پاکستان
سینیٹ میں مسلم لیگ ق نے صوبہ سرحد کا نام خیبر پختونخوا رکھنے کی مخالفت کی تھی لیکن ان کی جماعت اس معاملے پر ووٹنگ کے دوران تقسیم ہو گئی تھی۔,پاکستان
اسی کے ساتھ ساتھ آئینی پیکج میں ججوں کی تعیناتی کے طریقہ کار پر وکلا نے اعتراض کرتے ہوئے اسے چیلنج کرنے کا عندیہ دیا تھا۔ اس ضمن میں سپریم کورٹ میں دو درخواستیں دائر کی گئی ہیں۔,پاکستان
